,OBJECTID,ID_GE_TERM,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry,Latitud,Longitud
150,2093,246,TERMOELECTRICA TARAPACA,ENEL GENERACION CHILE,TERMOELECTRICA, ,PETROLEO DIESEL,20.022,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1998 9:00 p. m.,375862,7698898,19 SUR,WGS 1984,TARAPACA,IQUIQUE,IQUIQUE,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.19285027599994 -20.805689034372794),-20.805689034372794,-70.19285027599994
151,2094,249,TOCOPILLA,ENGIE,TERMOELECTRICA, ,PETROLEO DIESEL,428.466,6,075/1998,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1959 8:00 p. m.,375161,7556026,19 SUR,WGS 1984,ANTOFAGASTA,TOCOPILLA,TOCOPILLA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.21018917399994 -22.09622710234164),-22.09622710234164,-70.21018917399994
152,2095,258,TERMOPACIFICO,GENERADORA DEL PACIFICO S.A.,TERMOELECTRICA, ,PETROLEO DIESEL,95.5623,60,207/2009-244/2009,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/14/2009 9:00 p. m.,363495,6958309,19 SUR,WGS 1984,ATACAMA,COPIAPO,COPIAPO,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.38183535799993 -27.492003167226695),-27.492003167226695,-70.38183535799993
153,2096,259,TIRUA,SAGESA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,1.9,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,7/20/2011 8:00 p. m.,107826,5748591,19 SUR,WGS 1984,BIOBIO,ARAUCO,TIRUA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.48561834899994 -38.32502576308189),-38.32502576308189,-73.48561834899994
154,2097,260,TOMAVAL,BIOCRUZ GENERACION,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.9,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/31/2011 9:00 p. m.,291579,6362592,19 SUR,WGS 1984,VALPARAISO,QUILLOTA,LA CRUZ,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.22724042099998 -32.85497487513964),-32.85497487513964,-71.22724042099998
155,2098,262,TORTEL,MUNICIPALIDAD DE TORTEL,TERMOELECTRICA, ,S/I,0.24,1, ,PARTICULAR,OPERATIVA,,161106,4695166,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CAPITAN PRAT,TORTEL,SEREMIA AYSEN,9/29/2018 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.52673551599997 -47.80750440506141),-47.80750440506141,-73.52673551599997
156,2099,263,TRAPEN,ENLASA,TERMOELECTRICA, ,PETROLEO DIESEL,80.838,50,113/2008,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/2008 9:00 p. m.,159794,5395737,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.07683113499996 -41.517732887063474),-41.517732887063474,-73.07683113499996
157,2100,264,TRES PUENTES,EDELMAG S.A.,TERMOELECTRICA, ,GAS NATURAL-PETROLEO,72.31,8,286/2002-52/2006-144/2007,SISTEMA ELECTRICO DE MAGALLANES,OPERATIVA,12/31/1984 9:00 p. m.,372989,4114757,19 SUR,WGS 1984,MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.89711695999995 -53.10149569109462),-53.10149569109462,-70.89711695999995
158,2101,265,TRONGOL-CURANILAHUE,SAGESA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.4,5,132/2013,SISTEMA ELECTRICO NACIONAL,OPERATIVA,7/31/2012 8:00 p. m.,117942,5841835,19 SUR,WGS 1984,BIOBIO,ARAUCO,CURANILAHUE,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.32084321699995 -37.49140135208855),-37.49140135208855,-73.32084321699995
159,2102,267,UJINA,MINERA COLLAHUASI,TERMOELECTRICA, ,FUEL OIL NRO 6,44.130865,6,020/2008,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/29/2016 9:00 p. m.,542432,7680222,19 SUR,WGS 1984,TARAPACA,TAMARUGAL,PICA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-68.59178263899997 -20.978099769368576),-20.978099769368576,-68.59178263899997
160,2103,275,VENTANAS II,AES ANDES,TERMOELECTRICA, ,CARBON,193.459,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1976 9:00 p. m.,267340,6373587,19 SUR,WGS 1984,VALPARAISO,VALPARAISO,PUCHUNCAVI,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.48330669399996 -32.751008848141055),-32.751008848141055,-71.48330669399996
161,2104,276,VILLA OHIGGINS,EDELAYSEN,TERMOELECTRICA, ,S/I,0.15,1, ,VILLA O'HIGGINS,OPERATIVA,,236845,4624666,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CAPITAN PRAT,O'HIGGINS,SEREMIA AYSEN,9/29/2018 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.56091315199996 -48.476001037063845),-48.476001037063845,-72.56091315199996
162,2105,279,YUNGAY,CENTRAL YUNGAY S.A.,TERMOELECTRICA, ,PETROLEO DIESEL,197.58,4, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/20/2007 8:00 p. m.,207335,5888347,19 SUR,WGS 1984,BIOBIO,BIO-BIO,CABRERO,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.29331369899995 -37.105496356091884),-37.105496356091884,-72.29331369899995
163,2106,280,ZAPALLAR,ZAPALLAR SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.985,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,2/14/2019 9:00 p. m.,296881,6125556,19 SUR,WGS 1984,MAULE,CURICO,CURICO,COMISION NACIONAL DE ENERGIA,12/30/2018 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.22551766499998 -34.992227288113234),-34.992227288113234,-71.22551766499998
164,2107,281,YUMBEL,ESPINOS S.A.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.985,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/26/2019 8:00 p. m.,184820,5884776,19 SUR,WGS 1984,BIOBIO,BIO-BIO,YUMBEL,COMISION NACIONAL DE ENERGIA,3/30/2019 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.54774564699994 -37.13032130909168),-37.13032130909168,-72.54774564699994
165,2108,282,LOS SAUCES,ESPINOS S.A.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.985,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/26/2019 8:00 p. m.,163350,5788680,19 SUR,WGS 1984,LA ARAUCANIA,MALLECO,LOS SAUCES,COMISION NACIONAL DE ENERGIA,3/30/2019 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.83302853899994 -37.98709629108446),-37.98709629108446,-72.83302853899994
166,2109,283,GAMI,GENERADORA ELECTRICA GAMI LTDA.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.875,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/28/2019 8:00 p. m.,146818,5508915,19 SUR,WGS 1984,LOS LAGOS,OSORNO,SAN PABLO,COMISION NACIONAL DE ENERGIA,3/30/2019 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.16726307099998 -40.49532993706808),-40.49532993706808,-73.16726307099998
167,2110,284,PICOLTUE,ESPINOS S.A.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.985,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/26/2019 8:00 p. m.,212660,5823653,19 SUR,WGS 1984,BIOBIO,BIO-BIO,MULCHEN,COMISION NACIONAL DE ENERGIA,3/30/2019 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.25861731899994 -37.68934700208691),-37.68934700208691,-72.25861731899994
168,2111,286,CALFUCO,GENERADORA AZUL SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.99,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,9/3/2019 8:00 p. m.,159859,5395084,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COMISION NACIONAL DE ENERGIA,6/29/2019 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.07642289199998 -41.523627411063465),-41.523627411063465,-73.07642289199998
169,2112,287,RIO AZUL,GENERADORA LA CALERA SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.99,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,8/29/2019 8:00 p. m.,159853,5395063,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COMISION NACIONAL DE ENERGIA,6/29/2019 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.07650648599997 -41.52381354006348),-41.52381354006348,-73.07650648599997
170,2113,288,PMGD TER CIRUELILLO,IMELSA ENERGIA SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.955,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/14/2019 9:00 p. m.,111000,5359637,19 SUR,WGS 1984,LOS LAGOS,CHILOE,ANCUD,COMISION NACIONAL DE ENERGIA,6/29/2019 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.68327994499998 -41.819625226062335),-41.819625226062335,-73.68327994499998
171,2114,289,CALAFATE,GENERADORA CALAFATE SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.99,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/26/2019 9:00 p. m.,173270,5405595,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COMISION NACIONAL DE ENERGIA,12/30/2019 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.91037542199996 -41.43475222006383),-41.43475222006383,-72.91037542199996
172,2115,290,ALERCE,GENERADORA LA CALERA SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.99,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/19/2019 9:00 p. m.,173270,5405595,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COMISION NACIONAL DE ENERGIA,12/30/2019 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.91037542199996 -41.43475222006383),-41.43475222006383,-72.91037542199996
173,2116,293,PINARES,ELECTRICA PINARES LTDA.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,8.6,8,279/2020,SISTEMA ELECTRICO NACIONAL,OPERATIVA,2/9/2021 9:00 p. m.,193300,6078350,19 SUR,WGS 1984,MAULE,TALCA,CONSTITUCION,COMISION NACIONAL DE ENERGIA,12/30/2019 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.37653276299994 -35.39106896010881),-35.39106896010881,-72.37653276299994
174,2117,296,AGGREKO 01,AGGREKO CHILE LTDA.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,3.0,3, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,2/27/2022 9:00 p. m.,341224,6310313,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,SANTIAGO,QUILICURA,COMISION NACIONAL DE ENERGIA,6/29/2020 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.70603846799997 -33.33465441613328),-33.33465441613328,-70.70603846799997
175,2118,297,DON PEDRO,EBCO ENERGIA S.A.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.88,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/18/2021 8:00 p. m.,130586,5911059,19 SUR,WGS 1984,BIOBIO,CONCEPCION,SAN PEDRO DE LA PAZ,COMISION NACIONAL DE ENERGIA,6/29/2020 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.14399751799994 -36.874195705094),-36.874195705094,-73.14399751799994
176,2119,298,LAS QUEMAS,GENERSUR SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,9.0,9,123/2020,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/4/2021 8:00 p. m.,153559,5496536,19 SUR,WGS 1984,LOS LAGOS,OSORNO,OSORNO,COMISION NACIONAL DE ENERGIA,6/29/2020 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.09470093199997 -40.609405438067526),-40.609405438067526,-73.09470093199997
177,2120,299,EL FARO,GENERADORA NORTE SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,3.0,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,9/30/2020 9:00 p. m.,265623,6463553,19 SUR,WGS 1984,COQUIMBO,CHOAPA,LOS VILOS,COMISION NACIONAL DE ENERGIA,6/29/2020 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.47939034399997 -31.93980156315242),-31.93980156315242,-71.47939034399997
178,2121,301,ETERSOL,ENERGIA MORRO GUAYACAN SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,0.73,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/6/2021 9:00 p. m.,341285,6306223,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,SANTIAGO,QUILICURA,COMISION NACIONAL DE ENERGIA,6/29/2020 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.70610268599995 -33.37153826713279),-33.37153826713279,-70.70610268599995
179,2122,302,BLUEGATE,BLUEGATE ENERGIA SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,3.0,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,10/6/2020 9:00 p. m.,159886,5395012,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COMISION NACIONAL DE ENERGIA,6/29/2020 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.07614076299996 -41.52428576206348),-41.52428576206348,-73.07614076299996
180,2123,303,RASO POWER,ELECTRICA RASO POWER LTDA.,TERMOELECTRICA,PMGD,PETROLEO DIESEL-GAS NATURAL,8.48,5,NO APLICA,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/31/2016 9:00 p. m.,193276,6078438,19 SUR,WGS 1984,MAULE,TALCA,CONSTITUCION,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.37676351999994 -35.39026947610879),-35.39026947610879,-72.37676351999994
181,2124,304,BOLDOS,ALTO CAUTIN SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.991,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/20/2020 8:00 p. m.,212553,5823724,19 SUR,WGS 1984,BIOBIO,BIO-BIO,MULCHEN,COMISION NACIONAL DE ENERGIA,12/30/2020 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.25980096899997 -37.68867456708691),-37.68867456708691,-72.25980096899997
182,2125,305,AROMOS,ALTO CAUTIN SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.991,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/19/2020 8:00 p. m.,163662,5789060,19 SUR,WGS 1984,LA ARAUCANIA,MALLECO,LOS SAUCES,COMISION NACIONAL DE ENERGIA,12/30/2020 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.82930560999995 -37.98379469508452),-37.98379469508452,-72.82930560999995
183,2126,306,DEUCO,EBCO ENERGIA S.A.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.88,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,8/18/2020 8:00 p. m.,174490,5806942,19 SUR,WGS 1984,LA ARAUCANIA,MALLECO,ANGOL,COMISION NACIONAL DE ENERGIA,12/30/2020 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.69819718699995 -37.82690772808578),-37.82690772808578,-72.69819718699995
184,2127,307,LOS NEGROS,LLONQUEN ENERGIAS SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.99,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,10/19/2020 9:00 p. m.,167263,5499100,19 SUR,WGS 1984,LOS LAGOS,OSORNO,OSORNO,COMISION NACIONAL DE ENERGIA,12/30/2020 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.93174636299995 -40.59198653206762),-40.59198653206762,-72.93174636299995
185,2128,308,CAMPESINA (EX ALDEA),LLONQUEN ENERGIAS SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.99,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,10/20/2020 9:00 p. m.,159729,5529529,19 SUR,WGS 1984,LOS RIOS,RANCO,LA UNION,COMISION NACIONAL DE ENERGIA,12/30/2020 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.00427296799995 -40.31545994906904),-40.31545994906904,-73.00427296799995
186,2129,309,RAPACO,LLONQUEN ENERGIAS SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.99,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,10/20/2020 9:00 p. m.,153923,5534216,19 SUR,WGS 1984,LOS RIOS,RANCO,LA UNION,COMISION NACIONAL DE ENERGIA,12/30/2020 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.06990347099998 -40.270956607069294),-40.270956607069294,-73.06990347099998
187,2130,310,TAMBORES,LLONQUEN ENERGIAS SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.99,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,10/7/2020 9:00 p. m.,160616,5526336,19 SUR,WGS 1984,LOS RIOS,RANCO,RIO BUENO,COMISION NACIONAL DE ENERGIA,12/30/2020 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.99555360799997 -40.3445171380689),-40.3445171380689,-72.99555360799997
188,2131,311,CHIFIN,LLONQUEN ENERGIAS SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.99,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,10/6/2020 9:00 p. m.,145937,5476085,19 SUR,WGS 1984,LOS LAGOS,OSORNO,RIO NEGRO,COMISION NACIONAL DE ENERGIA,12/30/2020 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.19609586099995 -40.78992274406665),-40.78992274406665,-73.19609586099995
189,2132,312,TRANQUILO,EDELAYSEN,TERMOELECTRICA, ,PETROLEO DIESEL,0.4,1, ,SISTEMA ELECTRICO DE AYSEN,OPERATIVA,12/31/2018 9:00 p. m.,218893,4829876,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,GENERAL CARRERA,RIO IBANEZ,COMISION NACIONAL DE ENERGIA,12/30/2020 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.67210839399996 -46.62570800505836),-46.62570800505836,-72.67210839399996
190,2133,313,CAMPING DIESEL,TACORA ENERGY SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,3.0,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,7/2/2021 8:00 p. m.,320871,6268771,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,TALAGANTE,TALAGANTE,COMISION NACIONAL DE ENERGIA,12/30/2020 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.93294311899996 -33.70593900012851),-33.70593900012851,-70.93294311899996
191,2134,314,DAGOBERTO,EBCO ENERGIA S.A.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.88,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,9/29/2021 9:00 p. m.,186478,5703757,19 SUR,WGS 1984,LA ARAUCANIA,CAUTIN,TEMUCO,COMISION NACIONAL DE ENERGIA,12/30/2020 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.60797340199997 -38.75922841907867),-38.75922841907867,-72.60797340199997
192,2135,315,QUITRALMAN,CENTRAL EL ATAJO SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.4,5, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,1/28/2021 9:00 p. m.,215774,5828688,19 SUR,WGS 1984,BIOBIO,BIO-BIO,MULCHEN,COMISION NACIONAL DE ENERGIA,12/30/2020 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.22139307499998 -37.645006594087306),-37.645006594087306,-72.22139307499998
193,2136,317,CHILLAN,ESPINOS S.A.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.9,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,1/26/2021 9:00 p. m.,216396,5941608,19 SUR,WGS 1984,NUBLE,DIGUILLIN,CHILLAN VIEJO,COMISION NACIONAL DE ENERGIA,12/30/2020 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.17159934899996 -36.62889735909628),-36.62889735909628,-72.17159934899996
194,2137,321,LAGUNITAS,EMPRESA ELECTRICA LAGUNITAS SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.5,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/8/2022 8:00 p. m.,165328,5403105,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COMISION NACIONAL DE ENERGIA,5/30/2021 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.00658493499998 -41.45385859606376),-41.45385859606376,-73.00658493499998
195,2138,322,EGIDO,TACORA ENERGY SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,3.0,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,4/28/2022 8:00 p. m.,258268,6335411,19 SUR,WGS 1984,VALPARAISO,VALPARAISO,VALPARAISO,COMISION NACIONAL DE ENERGIA,5/30/2021 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.59006243999994 -33.093068007136424),-33.093068007136424,-71.59006243999994
196,2139,324,LLAGUEPE,SAGESA S.A.,TERMOELECTRICA, ,PETROLEO DIESEL,1.6,2, ,PALENA,OPERATIVA,12/31/2020 9:00 p. m.,209928,5374507,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,COCHAMO,COMISION NACIONAL DE ENERGIA,5/30/2021 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.48749499599995 -41.72832488506268),-41.72832488506268,-72.48749499599995
197,2140,326,EL CEREZO,GESTION AGRICOLA S.A.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,3.0,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,8/17/2021 8:00 p. m.,312096,6133343,19 SUR,WGS 1984,MAULE,CURICO,TENO,COMISION NACIONAL DE ENERGIA,5/30/2021 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.05715548499995 -34.924994601113966),-34.924994601113966,-71.05715548499995
198,2141,331,BERLIOZ,AS ENERGIA LIMITADA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,3.0,8, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,,348283,6290922,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,SANTIAGO,SAN JOAQUIN,COMISION NACIONAL DE ENERGIA,12/30/2021 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.63348900999995 -33.51050405513098),-33.51050405513098,-70.63348900999995
199,2142,335,NUEVO REINO,EDELAYSEN,TERMOELECTRICA, ,PETROLEO DIESEL,1.67,5, ,SISTEMA ELECTRICO DE AYSEN,OPERATIVA,12/31/1986 9:00 p. m.,208629,5041281,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,AISEN,CISNES,COMISION NACIONAL DE ENERGIA,12/30/2022 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.67914481899999 -44.7225646110568),-44.7225646110568,-72.67914481899999
200,2143,336,MERCED (EX LAS MERCEDES),GENERADORA LOS HIBISCOS SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,3.0,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/23/2023 9:00 p. m.,341989,6274588,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,MAIPO,SAN BERNARDO,COMISION NACIONAL DE ENERGIA,12/30/2022 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.70412199099997 -33.65685186812915),-33.65685186812915,-70.70412199099997
201,2144,337,CASABLANCA II,TECNORED,TERMOELECTRICA, ,PETROLEO DIESEL,0.9,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,4/12/2007 8:00 p. m.,277324,6309988,19 SUR,WGS 1984,VALPARAISO,VALPARAISO,CASABLANCA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.39227411299998 -33.326259739133384),-33.326259739133384,-71.39227411299998
